"ML,20200211,0,0,0,0,0"
"NC,20200211,0,0,0,0,0"
"PV,20200211,0,0,0,0,0"
"RI,20200211,0,0,0,0,0"
"VC,20200211,1,1,0,0,0"
"AN,20200212,1,1,0,0,0"
"AR,20200212,0,0,0,0,0"
"AS,20200212,0,0,0,0,0"
"CB,20200212,0,0,0,0,0"
"CE,20200212,0,0,0,0,0"
"CL,20200212,2,2,0,0,0"
"CM,20200212,0,0,0,0,0"
"CN,20200212,1,1,0,0,0"
"CT,20200212,5,4,0,0,1"
"EX,20200212,0,0,0,0,0"
"GA,20200212,0,0,0,0,0"
"IB,20200212,0,0,0,0,0"
"MC,20200212,0,0,0,0,0"
"MD,20200212,9,9,0,0,0"
"ML,20200212,0,0,0,0,0"
"NC,20200212,0,0,0,0,0"
"PV,20200212,2,2,0,0,0"
"RI,20200212,0,0,0,0,0"
"VC,20200212,1,1,0,0,0"
"AN,20200213,2,1,1,0,0"
"AR,20200213,1,1,0,0,0"
"AS,20200213,0,0,0,0,0"
"CB,20200213,0,0,0,0,0"
"CE,20200213,1,0,1,0,0"
"CL,20200213,3,0,3,0,0"
"CM,20200213,0,0,0,0,0"
"CN,20200213,0,0,0,0,0"
"CT,20200213,9,7,0,0,2"
"EX,20200213,1,0,1,0,0"
"GA,20200213,0,0,0,0,0"
"IB,20200213,0,0,0,0,0"
"MC,20200213,0,0,0,0,0"
"MD,20200213,15,15,0,0,0"
"ML,20200213,0,0,0,0,0"
"NC,20200213,0,0,0,0,0"
"PV,20200213,0,0,0,0,0"
"RI,20200213,0,0,0,0,0"
"VC,20200213,2,1,1,0,0"
"AN,20200214,1,1,0,0,0"
"AR,20200214,0,0,0,0,0"
"AS,20200214,0,0,0,0,0"
"CB,20200214,0,0,0,0,0"
"CE,20200214,0,0,0,0,0"
"CL,20200214,1,1,0,0,0"
"CM,20200214,0,0,0,0,0"
"CN,20200214,1,1,0,0,0"
"CT,20200214,1,1,0,0,0"
"EX,20200214,1,1,0,0,0"
"GA,20200214,0,0,0,0,0"
"IB,20200214,1,1,0,0,0"
"MC,20200214,1,0,1,0,0"
"MD,20200214,11,11,0,0,0"
"ML,20200214,0,0,0,0,0"
"NC,20200214,0,0,0,0,0"
"PV,20200214,0,0,0,0,0"
"RI,20200214,0,0,0,0,0"
"VC,20200214,2,2,0,0,0"
"AN,20200215,4,1,3,0,0"
"AR,20200215,0,0,0,0,0"
"AS,20200215,0,0,0,0,0"
"CB,20200215,0,0,0,0,0"
"CE,20200215,0,0,0,0,0"
"CL,20200215,0,0,0,0,0"
"CM,20200215,0,0,0,0,0"
"CN,20200215,0,0,0,0,0"
"CT,20200215,8,8,0,0,0"
"EX,20200215,2,1,1,0,0"
"GA,20200215,0,0,0,0,0"
"IB,20200215,0,0,0,0,0"
"MC,20200215,0,0,0,0,0"
"MD,20200215,13,13,0,0,0"
"ML,20200215,0,0,0,0,0"
"NC,20200215,0,0,0,0,0"
"PV,20200215,3,3,0,0,0"
"RI,20200215,0,0,0,0,0"
"VC,20200215,4,4,0,0,0"
"AN,20200216,0,0,0,0,0"
"AR,20200216,1,1,0,0,0"
"AS,20200216,0,0,0,0,0"
"CB,20200216,0,0,0,0,0"
"CE,20200216,0,0,0,0,0"
"CL,20200216,0,0,0,0,0"
"CM,20200216,0,0,0,0,0"
"CN,20200216,2,2,0,0,0"
"CT,20200216,4,3,0,0,1"
"EX,20200216,0,0,0,0,0"
"GA,20200216,1,1,0,0,0"
"IB,20200216,0,0,0,0,0"
